District,State,Growth,Sex_Ratio,Literacy,Key
Ahmadnagar,Maharashtra,12.44%,939,79.05,AhmadnagarMaharashtra
Krishna,Andhra Pradesh,7.87%,992,73.74,KrishnaAndhra Pradesh
Kolkata,West Bengal,-1.67%,908,86.31,KolkataWest Bengal
Jaunpur,Uttar Pradesh,14.89%,1024,71.55,JaunpurUttar Pradesh
Madhubani,Bihar,25.51%,926,58.62,MadhubaniBihar
Sitapur,Uttar Pradesh,23.88%,888,61.12,SitapurUttar Pradesh
Bareilly,Uttar Pradesh,22.93%,887,58.49,BareillyUttar Pradesh
Gorakhpur,Uttar Pradesh,17.81%,950,70.83,GorakhpurUttar Pradesh
Agra,Uttar Pradesh,22.05%,868,71.58,AgraUttar Pradesh
Gaya,Bihar,26.43%,937,63.67,GayaBihar
Solapur,Maharashtra,12.16%,938,77.02,SolapurMaharashtra
Visakhapatnam,Andhra Pradesh,11.96%,1006,66.91,VisakhapatnamAndhra Pradesh
Samastipur,Bihar,25.53%,911,61.86,SamastipurBihar
Jalgaon,Maharashtra,14.86%,925,78.2,JalgaonMaharashtra
Chittoor,Andhra Pradesh,11.43%,997,71.53,ChittoorAndhra Pradesh
Vadodara,Gujarat,14.38%,934,78.92,VadodaraGujarat
Muzaffarnagar,Uttar Pradesh,16.94%,889,69.12,MuzaffarnagarUttar Pradesh
Malappuram,Kerala,13.45%,1098,93.57,MalappuramKerala
Hardoi,Uttar Pradesh,20.44%,868,64.57,HardoiUttar Pradesh
Anantapur,Andhra Pradesh,12.10%,977,63.57,AnantapurAndhra Pradesh
Raipur,Chhattisgarh,34.70%,984,75.56,RaipurChhattisgarh
Kurnool,Andhra Pradesh,14.85%,988,59.97,KurnoolAndhra Pradesh
Mahbubnagar,Andhra Pradesh,15.34%,977,55.04,MahbubnagarAndhra Pradesh
Kheri,Uttar Pradesh,25.38%,894,60.56,KheriUttar Pradesh
Kancheepuram,Tamil Nadu,38.95%,986,84.49,KancheepuramTamil Nadu
Maldah,West Bengal,21.22%,944,61.73,MaldahWest Bengal
Saran,Bihar,21.64%,954,65.96,SaranBihar
Hyderabad,Andhra Pradesh,2.97%,954,83.25,HyderabadAndhra Pradesh
Darbhanga,Bihar,19.47%,911,56.56,DarbhangaBihar
West Godavari,Andhra Pradesh,3.51%,1004,74.63,West GodavariAndhra Pradesh
Vellore,Tamil Nadu,13.20%,1007,79.17,VelloreTamil Nadu
Pashchim Champaran,Bihar,29.29%,909,55.7,Pashchim ChamparanBihar
Kolhapur,Maharashtra,10.01%,957,81.51,KolhapurMaharashtra
Jalpaiguri,West Bengal,13.87%,953,73.25,JalpaiguriWest Bengal
Rajkot,Gujarat,20.02%,927,80.96,RajkotGujarat
Sultanpur,Uttar Pradesh,18.11%,983,69.27,SultanpurUttar Pradesh
Karimnagar,Andhra Pradesh,8.15%,1008,64.15,KarimnagarAndhra Pradesh
Thiruvallur,Tamil Nadu,35.33%,987,84.03,ThiruvallurTamil Nadu
Aurangabad,Maharashtra,27.76%,923,79.02,AurangabadMaharashtra
Jodhpur,Rajasthan,27.74%,916,65.94,JodhpurRajasthan
Bijnor,Uttar Pradesh,17.60%,917,68.48,BijnorUttar Pradesh
Budaun,Uttar Pradesh,19.95%,871,51.29,BudaunUttar Pradesh
Varanasi,Uttar Pradesh,17.15%,913,75.6,VaranasiUttar Pradesh
Alwar,Rajasthan,22.78%,895,70.72,AlwarRajasthan
Aligarh,Uttar Pradesh,22.78%,882,67.52,AligarhUttar Pradesh
North West Delhi,Delhi,27.81%,865,84.45,North West DelhiDelhi
Ghazipur,Uttar Pradesh,19.18%,952,71.78,GhazipurUttar Pradesh
Bankura,West Bengal,12.65%,957,70.26,BankuraWest Bengal
Kushinagar,Uttar Pradesh,23.20%,961,65.25,KushinagarUttar Pradesh
Ganjam,Orissa,11.66%,983,71.09,GanjamOrissa
Warangal,Andhra Pradesh,8.21%,997,65.11,WarangalAndhra Pradesh
Birbhum,West Bengal,16.15%,956,70.68,BirbhumWest Bengal
Bulandshahar,Uttar Pradesh,20.12%,896,68.88,BulandshaharUttar Pradesh
Ludhiana,Punjab,15.36%,873,82.2,LudhianaPunjab
Vaishali,Bihar,28.57%,895,66.6,VaishaliBihar
Nalgonda,Andhra Pradesh,7.41%,983,64.2,NalgondaAndhra Pradesh
Bahraich,Uttar Pradesh,46.48%,892,49.36,BahraichUttar Pradesh
Salem,Tamil Nadu,15.44%,954,72.86,SalemTamil Nadu
Saharanpur,Uttar Pradesh,19.66%,890,70.49,SaharanpurUttar Pradesh
Viluppuram,Tamil Nadu,16.84%,987,71.88,ViluppuramTamil Nadu
Coimbatore,Tamil Nadu,18.56%,1000,83.98,CoimbatoreTamil Nadu
Meerut,Uttar Pradesh,14.89%,886,72.84,MeerutUttar Pradesh
Gonda,Uttar Pradesh,24.17%,921,58.71,GondaUttar Pradesh
Sitamarhi,Bihar,27.62%,899,52.05,SitamarhiBihar
Rae Bareli,Uttar Pradesh,18.56%,943,67.25,Rae BareliUttar Pradesh
Prakasam,Andhra Pradesh,11.05%,981,63.08,PrakasamAndhra Pradesh
Nanded,Maharashtra,16.86%,943,75.45,NandedMaharashtra
Durg,Chhattisgarh,18.98%,988,79.06,DurgChhattisgarh
Siwan,Bihar,22.70%,988,69.45,SiwanBihar
Nagaur,Rajasthan,19.20%,950,62.8,NagaurRajasthan
Thiruvananthapuram,Kerala,2.07%,1087,93.02,ThiruvananthapuramKerala
Ernakulam,Kerala,5.69%,1027,95.89,ErnakulamKerala
Indore,Madhya Pradesh,32.88%,928,80.87,IndoreMadhya Pradesh
Purnia,Bihar,28.33%,921,51.08,PurniaBihar
Barabanki,Uttar Pradesh,21.96%,910,61.75,BarabankiUttar Pradesh
Ballia,Uttar Pradesh,17.31%,937,70.94,BalliaUttar Pradesh
Pratapgarh,Uttar Pradesh,17.50%,998,70.09,PratapgarhUttar Pradesh
Thrissur,Kerala,4.94%,1108,95.08,ThrissurKerala
Banaskantha,Gujarat,24.61%,938,65.32,BanaskanthaGujarat
Unnao,Uttar Pradesh,15.11%,907,66.37,UnnaoUttar Pradesh
Deoria,Uttar Pradesh,14.31%,1017,71.13,DeoriaUttar Pradesh
Kozhikode,Kerala,7.20%,1098,95.08,KozhikodeKerala
Mumbai City,Maharashtra,-7.57%,832,89.21,Mumbai CityMaharashtra
Tirunelveli,Tamil Nadu,12.97%,1023,82.5,TirunelveliTamil Nadu
Katihar,Bihar,28.35%,919,52.24,KatiharBihar
Udaipur,Rajasthan,23.69%,958,61.82,UdaipurRajasthan
Madurai,Tamil Nadu,17.84%,990,83.45,MaduraiTamil Nadu
Bhagalpur,Bihar,25.36%,880,63.14,BhagalpurBihar
Medak,Andhra Pradesh,13.60%,992,61.42,MedakAndhra Pradesh
Uttar Dinajpur,West Bengal,23.15%,939,59.07,Uttar DinajpurWest Bengal
Shahjahanpur,Uttar Pradesh,18.00%,872,59.54,ShahjahanpurUttar Pradesh
Satara,Maharashtra,6.93%,988,82.87,SataraMaharashtra
Mysore,Karnataka,13.63%,985,72.79,MysoreKarnataka
Begusarai,Bihar,26.44%,895,63.87,BegusaraiBihar
Sri Potti Sriramulu Nellore,Andhra Pradesh,11.05%,985,68.9,Sri Potti Sriramulu NelloreAndhra Pradesh
Rohtas,Bihar,20.78%,918,73.37,RohtasBihar
Puruliya,West Bengal,15.52%,957,64.48,PuruliyaWest Bengal
Ranchi,Jharkhand,23.98%,949,76.06,RanchiJharkhand
Amravati,Maharashtra,10.79%,951,87.38,AmravatiMaharashtra
YSR,Andhra Pradesh,10.79%,985,67.3,YSRAndhra Pradesh
Bhavnagar,Gujarat,16.63%,933,75.52,BhavnagarGujarat
Nalanda,Bihar,21.39%,922,64.43,NalandaBihar
Nagaon,Assam,22.00%,962,72.37,NagaonAssam
Sangli,Maharashtra,9.24%,966,81.48,SangliMaharashtra
Koch Bihar,West Bengal,13.71%,942,74.78,Koch BiharWest Bengal
Araria,Bihar,30.25%,921,53.53,ArariaBihar
Palakkad,Kerala,7.35%,1067,89.31,PalakkadKerala
Khammam,Andhra Pradesh,8.47%,1011,64.81,KhammamAndhra Pradesh
Yavatmal,Maharashtra,12.78%,952,82.82,YavatmalMaharashtra
Junagadh,Gujarat,12.05%,953,75.8,JunagadhGujarat
Adilabad,Andhra Pradesh,10.18%,1001,61.01,AdilabadAndhra Pradesh
South Delhi,Delhi,20.51%,862,86.57,South DelhiDelhi
Bhojpur,Bihar,21.63%,907,70.47,BhojpurBihar
Tiruchirappalli,Tamil Nadu,12.57%,1013,83.23,TiruchirappalliTamil Nadu
Srikakulam,Andhra Pradesh,6.52%,1015,61.74,SrikakulamAndhra Pradesh
Maharajganj,Uttar Pradesh,23.50%,943,62.76,MaharajganjUttar Pradesh
Dhanbad,Jharkhand,11.99%,909,74.52,DhanbadJharkhand
Tumkur,Karnataka,3.65%,984,75.14,TumkurKarnataka
Sikar,Rajasthan,17.03%,947,71.91,SikarRajasthan
Bilaspur,Chhattisgarh,33.29%,971,70.78,BilaspurChhattisgarh
Kollam,Kerala,1.94%,1113,94.09,KollamKerala
Raigarh,Maharashtra,19.31%,959,83.14,RaigarhMaharashtra
Fatehpur,Uttar Pradesh,14.05%,901,67.43,FatehpurUttar Pradesh
Cuttack,Orissa,12.10%,940,85.5,CuttackOrissa
Cuddalore,Tamil Nadu,14.02%,987,78.04,CuddaloreTamil Nadu
Barmer,Rajasthan,32.52%,902,56.53,BarmerRajasthan
Buldana,Maharashtra,15.85%,934,83.4,BuldanaMaharashtra
Bid,Maharashtra,19.61%,916,76.99,BidMaharashtra
Ajmer,Rajasthan,18.40%,951,69.33,AjmerRajasthan
Gulbarga,Karnataka,18.01%,971,64.85,GulbargaKarnataka
Gopalganj,Bihar,19.02%,1021,65.47,GopalganjBihar
Siddharth Nagar,Uttar Pradesh,25.45%,976,59.25,Siddharth NagarUttar Pradesh
Nizamabad,Andhra Pradesh,8.77%,1040,61.25,NizamabadAndhra Pradesh
Bharatpur,Rajasthan,21.29%,880,70.11,BharatpurRajasthan
Mathura,Uttar Pradesh,22.78%,863,70.36,MathuraUttar Pradesh
West Delhi,Delhi,19.46%,875,86.98,West DelhiDelhi
Aurangabad,Bihar,26.18%,926,70.32,AurangabadBihar
Kannur,Kerala,4.73%,1136,95.1,KannurKerala
Mayurbhanj,Orissa,13.33%,1006,63.17,MayurbhanjOrissa
Firozabad,Uttar Pradesh,21.69%,875,71.92,FirozabadUttar Pradesh
Mirzapur,Uttar Pradesh,18.00%,903,68.48,MirzapurUttar Pradesh
Amritsar,Punjab,15.47%,889,76.27,AmritsarPunjab
Tiruppur,Tamil Nadu,29.11%,989,78.68,TiruppurTamil Nadu
Faizabad,Uttar Pradesh,18.29%,962,68.73,FaizabadUttar Pradesh
Tiruvannamalai,Tamil Nadu,12.75%,994,74.21,TiruvannamalaiTamil Nadu
Basti,Uttar Pradesh,18.21%,963,67.22,BastiUttar Pradesh
Jabalpur,Madhya Pradesh,14.51%,929,81.07,JabalpurMadhya Pradesh
Latur,Maharashtra,17.97%,928,77.26,LaturMaharashtra
Bellary,Karnataka,20.99%,983,67.43,BellaryKarnataka
Giridih,Jharkhand,28.41%,944,63.14,GiridihJharkhand
Sabarkantha,Gujarat,16.62%,952,75.79,SabarkanthaGujarat
Bhilwara,Rajasthan,19.60%,973,61.37,BhilwaraRajasthan
Thanjavur,Tamil Nadu,8.56%,1035,82.64,ThanjavurTamil Nadu
Ambedkar Nagar,Uttar Pradesh,18.30%,978,72.23,Ambedkar NagarUttar Pradesh
PanchMahal,Gujarat,18.05%,949,70.99,PanchMahalGujarat
Sagar,Madhya Pradesh,17.63%,893,76.46,SagarMadhya Pradesh
Bhopal,Madhya Pradesh,28.62%,918,80.37,BhopalMadhya Pradesh
Rewa,Madhya Pradesh,19.86%,931,71.62,RewaMadhya Pradesh
Bikaner,Rajasthan,41.19%,905,65.13,BikanerRajasthan
Surguja,Chhattisgarh,19.66%,978,60.01,SurgujaChhattisgarh
Vizianagaram,Andhra Pradesh,4.23%,1019,58.89,VizianagaramAndhra Pradesh
Rampur,Uttar Pradesh,21.42%,909,53.34,RampurUttar Pradesh
Baleshwar,Orissa,14.62%,957,79.79,BaleshwarOrissa
Kheda,Gujarat,13.62%,940,82.65,KhedaGujarat
Gurdaspur,Punjab,9.26%,895,79.95,GurdaspurPunjab
Purbi Singhbhum,Jharkhand,15.68%,949,75.49,Purbi SinghbhumJharkhand
South West Delhi,Delhi,30.65%,840,88.28,South West DelhiDelhi
Erode,Tamil Nadu,11.66%,993,72.58,ErodeTamil Nadu
Khordha,Orissa,19.94%,929,86.88,KhordhaOrissa
North East Delhi,Delhi,26.78%,886,83.09,North East DelhiDelhi
Supaul,Bihar,28.66%,929,57.67,SupaulBihar
Satna,Madhya Pradesh,19.19%,926,72.26,SatnaMadhya Pradesh
Nawada,Bihar,22.63%,939,59.76,NawadaBihar
Mau,Uttar Pradesh,18.98%,979,73.09,MauUttar Pradesh
Chandrapur,Maharashtra,6.43%,961,80.01,ChandrapurMaharashtra
Jalandhar,Punjab,11.76%,915,82.48,JalandharPunjab
Dhar,Madhya Pradesh,25.60%,964,59,DharMadhya Pradesh
Bijapur,Karnataka,20.50%,960,67.15,BijapurKarnataka
Jamnagar,Gujarat,13.44%,939,73.65,JamnagarGujarat
Dindigul,Tamil Nadu,12.31%,998,76.26,DindigulTamil Nadu
Balrampur,Uttar Pradesh,27.72%,928,49.51,BalrampurUttar Pradesh
Jhunjhunun,Rajasthan,11.67%,950,74.13,JhunjhununRajasthan
Alappuzha,Kerala,0.88%,1100,95.72,AlappuzhaKerala
Dohad,Gujarat,29.98%,990,58.82,DohadGujarat
Sundargarh,Orissa,14.35%,973,73.34,SundargarhOrissa
Anand,Gujarat,12.70%,925,84.37,AnandGujarat
Kachchh,Gujarat,32.16%,908,70.59,KachchhGujarat
Chhindwara,Madhya Pradesh,13.07%,964,71.16,ChhindwaraMadhya Pradesh
Dakshina Kannada,Karnataka,10.11%,1020,88.57,Dakshina KannadaKarnataka
Bokaro,Jharkhand,16.01%,922,72.01,BokaroJharkhand
Dhule,Maharashtra,20.08%,946,72.8,DhuleMaharashtra
Churu,Rajasthan,6.01%,940,66.75,ChuruRajasthan
Pali,Rajasthan,11.94%,987,62.39,PaliRajasthan
Mahesana,Gujarat,10.73%,926,83.61,MahesanaGujarat
Banka,Bihar,26.48%,907,58.17,BankaBihar
Gwalior,Madhya Pradesh,24.50%,864,76.65,GwaliorMadhya Pradesh
Pilibhit,Uttar Pradesh,23.45%,895,61.47,PilibhitUttar Pradesh
Firozpur,Punjab,16.21%,893,68.92,FirozpurPunjab
Madhepura,Bihar,31.12%,911,52.25,MadhepuraBihar
Jhansi,Uttar Pradesh,14.54%,890,75.05,JhansiUttar Pradesh
Ujjain,Madhya Pradesh,16.12%,955,72.34,UjjainMadhya Pradesh
Kottayam,Kerala,1.07%,1039,97.21,KottayamKerala
Ganganagar,Rajasthan,10.04%,887,69.64,GanganagarRajasthan
Morena,Madhya Pradesh,23.44%,840,71.03,MorenaMadhya Pradesh
Jalna,Maharashtra,21.46%,937,71.52,JalnaMaharashtra
Chandauli,Uttar Pradesh,18.83%,918,71.48,ChandauliUttar Pradesh
Kota,Rajasthan,24.39%,911,76.56,KotaRajasthan
Dhubri,Assam,24.44%,953,58.34,DhubriAssam
Davanagere,Karnataka,8.63%,972,75.74,DavanagereKarnataka
Virudhunagar,Tamil Nadu,10.91%,1007,80.15,VirudhunagarTamil Nadu
Palamu,Jharkhand,26.17%,928,63.63,PalamuJharkhand
Raichur,Karnataka,15.51%,1000,59.56,RaichurKarnataka
Sonitpur,Assam,15.55%,956,67.34,SonitpurAssam
Saharsa,Bihar,26.02%,906,53.2,SaharsaBihar
Patiala,Punjab,19.62%,891,75.28,PatialaPunjab
Haridwar,Uttarakhand,30.63%,880,73.43,HaridwarUttarakhand
Bagalkot,Karnataka,14.40%,989,68.82,BagalkotKarnataka
Farrukhabad,Uttar Pradesh,20.05%,874,69.04,FarrukhabadUttar Pradesh
Krishnagiri,Tamil Nadu,20.41%,958,71.46,KrishnagiriTamil Nadu
West Nimar,Madhya Pradesh,22.85%,965,62.7,West NimarMadhya Pradesh
Kanniyakumari,Tamil Nadu,11.60%,1019,91.75,KanniyakumariTamil Nadu
Mainpuri,Uttar Pradesh,17.02%,881,75.99,MainpuriUttar Pradesh
Sonbhadra,Uttar Pradesh,27.27%,918,64.03,SonbhadraUttar Pradesh
Dharwad,Karnataka,15.13%,971,80,DharwadKarnataka
Darjiling,West Bengal,14.77%,970,79.56,DarjilingWest Bengal
Jyotiba Phule Nagar,Uttar Pradesh,22.76%,910,63.84,Jyotiba Phule NagarUttar Pradesh
Parbhani,Maharashtra,20.19%,947,73.34,ParbhaniMaharashtra
Jalor,Rajasthan,26.21%,952,54.86,JalorRajasthan
Jajapur,Orissa,12.49%,973,80.13,JajapurOrissa
Akola,Maharashtra,11.27%,946,88.05,AkolaMaharashtra
Faridabad,Haryana,32.54%,873,81.7,FaridabadHaryana
Mandya,Karnataka,2.38%,995,70.4,MandyaKarnataka
Kendujhar,Orissa,15.35%,988,68.24,KendujharOrissa
Banda,Uttar Pradesh,17.05%,863,66.67,BandaUttar Pradesh
Banswara,Rajasthan,26.53%,980,56.33,BanswaraRajasthan
Ramabai Nagar,Uttar Pradesh,14.89%,865,75.78,Ramabai NagarUttar Pradesh
Hassan,Karnataka,3.18%,1010,76.07,HassanKarnataka
Hanumangarh,Rajasthan,16.91%,906,67.13,HanumangarhRajasthan
Etah,Uttar Pradesh,13.62%,873,70.81,EtahUttar Pradesh
Chhattarpur,Madhya Pradesh,19.51%,883,63.74,ChhattarpurMadhya Pradesh
Jamui,Bihar,25.85%,922,59.79,JamuiBihar
Surendranagar,Gujarat,15.91%,930,72.13,SurendranagarGujarat
Shimoga,Karnataka,6.71%,998,80.45,ShimogaKarnataka
Thoothukkudi,Tamil Nadu,11.32%,1023,86.16,ThoothukkudiTamil Nadu
Hisar,Haryana,13.45%,872,72.89,HisarHaryana
Cachar,Assam,20.19%,959,79.34,CacharAssam
Hazaribagh,Jharkhand,20.65%,947,69.75,HazaribaghJharkhand
Namakkal,Tamil Nadu,15.61%,986,74.63,NamakkalTamil Nadu
Shivpuri,Madhya Pradesh,22.76%,877,62.55,ShivpuriMadhya Pradesh
West Tripura,Tripura,12.57%,962,88.69,West TripuraTripura
Sant Kabir Nagar,Uttar Pradesh,20.77%,972,66.72,Sant Kabir NagarUttar Pradesh
East Delhi,Delhi,16.79%,884,89.31,East DelhiDelhi
Buxar,Bihar,21.67%,922,70.14,BuxarBihar
Valsad,Gujarat,20.92%,922,78.55,ValsadGujarat
Bidar,Karnataka,13.37%,956,70.51,BidarKarnataka
Bhind,Madhya Pradesh,19.21%,837,75.26,BhindMadhya Pradesh
Balaghat,Madhya Pradesh,13.60%,1021,77.09,BalaghatMadhya Pradesh
Puri,Orissa,13.05%,963,84.67,PuriOrissa
Dehradun,Uttarakhand,32.33%,902,84.25,DehradunUttarakhand
Barpeta,Assam,21.43%,953,63.81,BarpetaAssam
Kishanganj,Bihar,30.40%,950,55.46,KishanganjBihar
Jalaun,Uttar Pradesh,16.19%,865,73.75,JalaunUttar Pradesh
Dakshin Dinajpur,West Bengal,11.52%,956,72.82,Dakshin DinajpurWest Bengal
Khagaria,Bihar,30.19%,886,57.92,KhagariaBihar
Chitradurga,Karnataka,9.33%,974,73.71,ChitradurgaKarnataka
Osmanabad,Maharashtra,11.50%,924,78.44,OsmanabadMaharashtra
Kannauj,Uttar Pradesh,19.27%,879,72.7,KannaujUttar Pradesh
Sangrur,Punjab,12.35%,885,67.99,SangrurPunjab
Balangir,Orissa,23.32%,987,64.72,BalangirOrissa
Udham Singh Nagar,Uttarakhand,33.45%,920,73.1,Udham Singh NagarUttarakhand
Nandurbar,Maharashtra,25.66%,978,64.38,NandurbarMaharashtra
Gautam Buddha Nagar,Uttar Pradesh,37.11%,851,80.12,Gautam Buddha NagarUttar Pradesh
Bhiwani,Haryana,14.70%,886,75.21,BhiwaniHaryana
Dausa,Rajasthan,24.09%,905,68.16,DausaRajasthan
Kaimur,Bihar,26.17%,920,69.34,KaimurBihar
Janjgir Champa,Chhattisgarh,22.94%,986,73.07,Janjgir ChampaChhattisgarh
Pudukkottai,Tamil Nadu,10.88%,1015,77.19,PudukkottaiTamil Nadu
Nagapattinam,Tamil Nadu,8.57%,1025,83.59,NagapattinamTamil Nadu
Ratnagiri,Maharashtra,-4.82%,1122,82.18,RatnagiriMaharashtra
Kaushambi,Uttar Pradesh,23.70%,908,61.28,KaushambiUttar Pradesh
Haveri,Karnataka,11.02%,950,77.4,HaveriKarnataka
Hoshiarpur,Punjab,7.11%,961,84.59,HoshiarpurPunjab
Etawah,Uttar Pradesh,18.15%,870,78.41,EtawahUttar Pradesh
Sant Ravidas Nagar,Uttar Pradesh,16.58%,955,68.97,Sant Ravidas NagarUttar Pradesh
Kalahandi,Orissa,18.07%,1003,59.22,KalahandiOrissa
Betul,Madhya Pradesh,12.92%,971,68.9,BetulMadhya Pradesh
Mahamaya Nagar,Uttar Pradesh,17.12%,871,71.59,Mahamaya NagarUttar Pradesh
Dewas,Madhya Pradesh,19.53%,942,69.35,DewasMadhya Pradesh
Bharuch,Gujarat,13.16%,925,81.51,BharuchGujarat
Rajgarh,Madhya Pradesh,23.26%,956,61.21,RajgarhMadhya Pradesh
Chittaurgarh,Rajasthan,16.08%,972,61.71,ChittaurgarhRajasthan
Rajnandgaon,Chhattisgarh,19.79%,1015,75.96,RajnandgaonChhattisgarh
Kolar,Karnataka,10.77%,979,74.39,KolarKarnataka
Jammu,Jammu and Kashmir,12.74%,880,83.45,JammuJammu and Kashmir
Kamrup,Assam,15.69%,949,75.55,KamrupAssam
Gurgaon,Haryana,73.96%,854,84.7,GurgaonHaryana
Amreli,Gujarat,8.63%,964,74.25,AmreliGujarat
Shajapur,Madhya Pradesh,17.20%,938,69.09,ShajapurMadhya Pradesh
Kangra,Himachal Pradesh,12.77%,1012,85.67,KangraHimachal Pradesh
Dharmapuri,Tamil Nadu,16.34%,946,68.54,DharmapuriTamil Nadu
Bhadrak,Orissa,12.94%,981,82.78,BhadrakOrissa
Karnal,Haryana,18.14%,887,74.73,KarnalHaryana
Pashchimi Singhbhum,Jharkhand,21.75%,1005,58.63,Pashchimi SinghbhumJharkhand
Raigarh,Chhattisgarh,18.05%,991,73.26,RaigarhChhattisgarh
Deoghar,Jharkhand,28.03%,925,64.85,DeogharJharkhand
Bargarh,Orissa,10.02%,977,74.62,BargarhOrissa
Vidisha,Madhya Pradesh,20.09%,896,70.53,VidishaMadhya Pradesh
Karauli,Rajasthan,20.55%,861,66.22,KarauliRajasthan
Ratlam,Madhya Pradesh,19.72%,971,66.78,RatlamMadhya Pradesh
Sonipat,Haryana,13.35%,856,79.12,SonipatHaryana
Tikamgarh,Madhya Pradesh,20.13%,901,61.43,TikamgarhMadhya Pradesh
Kendrapara,Orissa,10.63%,1007,85.15,KendraparaOrissa
Uttara Kannada,Karnataka,6.17%,979,84.06,Uttara KannadaKarnataka
Kanshiram Nagar,Uttar Pradesh,16.93%,880,61.02,Kanshiram NagarUttar Pradesh
Tonk,Rajasthan,17.30%,952,61.58,TonkRajasthan
Bastar,Chhattisgarh,17.96%,1023,54.4,BastarChhattisgarh
Jhalawar,Rajasthan,19.55%,946,61.5,JhalawarRajasthan
Gandhinagar,Gujarat,4.29%,923,84.16,GandhinagarGujarat
Koppal,Karnataka,16.21%,986,68.09,KoppalKarnataka
Dungarpur,Rajasthan,25.36%,994,59.46,DungarpurRajasthan
Bathinda,Punjab,17.34%,868,68.28,BathindaPunjab
Barwani,Madhya Pradesh,27.57%,982,49.08,BarwaniMadhya Pradesh
Koraput,Orissa,16.86%,1032,49.21,KoraputOrissa
Auraiya,Uttar Pradesh,16.91%,864,78.95,AuraiyaUttar Pradesh
Seoni,Madhya Pradesh,18.22%,982,72.12,SeoniMadhya Pradesh
Munger,Bihar,20.21%,876,70.46,MungerBihar
Ramanathapuram,Tamil Nadu,13.96%,983,80.72,RamanathapuramTamil Nadu
Patan,Gujarat,13.61%,935,72.3,PatanGujarat
Mandsaur,Madhya Pradesh,13.24%,963,71.78,MandsaurMadhya Pradesh
Sivaganga,Tamil Nadu,15.90%,1003,79.85,SivagangaTamil Nadu
Sawai Madhopur,Rajasthan,19.56%,897,65.39,Sawai MadhopurRajasthan
Jind,Haryana,12.13%,871,71.44,JindHaryana
Raisen,Madhya Pradesh,18.35%,901,72.98,RaisenMadhya Pradesh
Navsari,Gujarat,8.15%,961,83.88,NavsariGujarat
Tinsukia,Assam,15.47%,952,69.66,TinsukiaAssam
Dibrugarh,Assam,11.92%,961,76.05,DibrugarhAssam
Garhwa,Jharkhand,27.75%,935,60.33,GarhwaJharkhand
Gondiya,Maharashtra,10.14%,999,84.95,GondiyaMaharashtra
Dumka,Jharkhand,19.42%,977,61.02,DumkaJharkhand
Godda,Jharkhand,25.35%,938,56.4,GoddaJharkhand
Sehore,Madhya Pradesh,21.54%,918,70.06,SehoreMadhya Pradesh
East Nimar,Madhya Pradesh,21.50%,943,66.39,East NimarMadhya Pradesh
Kasaragod,Kerala,8.58%,1080,90.09,KasaragodKerala
